City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
424,Japura,ID,76.1,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
425,Vung Tau,VN,82.15,overcast clouds,10.346,107.0843,Green hotel
430,Matara,LK,77.27,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
431,Buchanan,LR,75.58,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
432,Viedma,AR,60.19,scattered clouds,-40.8135,-62.9967,Hotel Cristal
433,Mulege,MX,76.64,clear sky,26.8833,-111.9833,Casa Granada
435,Morondava,MG,68.97,clear sky,-20.2833,44.2833,La Case Bambou
441,Cap Malheureux,MU,75.99,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
442,Capiibary,PY,69.4,clear sky,-24.8,-56.0333,Hotel Toledo
443,Bowen,AU,78.8,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
444,Illapel,CL,63.1,clear sky,-31.6308,-71.1653,Hotel Londres
448,Faanui,PF,82.06,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
450,Russell,US,69.8,scattered clouds,32.3502,-85.1999,Macs
451,Tambun,ID,84.99,mist,-6.2641,107.0712,@HOM Premiere Tambun
452,Naze,JP,66.2,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
454,Abu Zabad,SD,77.58,clear sky,12.35,29.25,حامد محمد نور
456,Pangai,TO,82.4,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
459,Noumea,NC,84.2,clear sky,-22.2763,166.4572,Hôtel Le Lagon
460,Riachao Das Neves,BR,76.21,overcast clouds,-11.7461,-44.91,Casa Costa
464,Loei,TH,80.01,broken clouds,17.4167,101.5,ไร่สานตม บ้านภูล้อม
468,Ketchikan,US,60.8,clear sky,55.3422,-131.6461,Snows Cove Lodge
470,Waingapu,ID,82.42,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
471,Muisne,EC,76.87,overcast clouds,0.6,-80.0333,Quinta Samay
472,Simao,CN,64.53,clear sky,22.7886,100.9748,Changyu Hotel
474,Vari,GR,60.01,overcast clouds,37.8312,23.8081,The Margi
475,Marrakesh,MA,62.6,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
477,Cabedelo,BR,73.4,clear sky,-6.9811,-34.8339,Hotel Pigalle
478,Port Moresby,PG,84.31,overcast clouds,-9.4431,147.1797,Lamana Hotel
479,Khandbari,NP,67.82,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
483,Contramaestre,CU,84.2,clear sky,20.2978,-76.2414,Hotel Caribeño
484,Imbituba,BR,69.8,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
490,Dubai,AE,73.4,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
492,Kununurra,AU,80.6,few clouds,-15.7667,128.7333,Hotel Kununurra
494,Ambovombe,MG,64.36,scattered clouds,-25.1667,46.0833,RELAHARA
495,Kalmunai,LK,78.12,overcast clouds,7.4167,81.8167,VS Villa
496,Ahipara,NZ,62.58,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
497,Vanimo,PG,84.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
498,Maiduguri,NG,83.55,overcast clouds,11.8464,13.1603,Beach Guest Home
499,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
501,Kapit,MY,73.29,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
503,Curup,ID,71.29,broken clouds,-3.4667,102.5333,Ayi The Costel
504,Sawakin,SD,79.32,overcast clouds,19.1059,37.3321,فندق الدويم
506,Bozova,TR,66.2,clear sky,37.3625,38.5267,Bozova Öğretmen Evi
508,Honiara,SB,86.0,overcast clouds,-9.4333,159.95,Heritage Park Hotel
510,Montes Altos,BR,72.59,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
511,Saint-Joseph,RE,73.4,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
512,Kavaratti,IN,83.88,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
514,Manta,EC,78.8,broken clouds,-0.95,-80.7333,Balandra Hotel
515,Petatlan,MX,77.13,clear sky,17.5167,-101.2667,Hotel California Petatlán
521,Jian,CN,62.56,overcast clouds,27.1172,114.9793,Luling International Hotel
522,Amuntai,ID,82.53,overcast clouds,-2.4177,115.2494,Hotel Balqis
523,Ucluelet,CA,64.4,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
527,San Buenaventura,MX,64.27,clear sky,27.0833,-101.5333,Hotel Gran Plaza
528,Sungaipenuh,ID,67.96,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
532,Dothan,US,62.6,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
533,Garowe,SO,73.33,clear sky,8.4054,48.4845,Curubo Hotel
535,Buckeye,US,84.99,few clouds,33.3703,-112.5838,Buckeye Motor Hotel
536,Lagoa,PT,60.89,few clouds,39.05,-27.9833,Casa Das Faias
537,Suclayin,PH,84.81,overcast clouds,15.7568,121.5503,Costa Pacifica
539,Bolobo,CD,72.45,light rain,-2.1667,16.2333,Hotel de Stephen
541,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
543,Allapalli,IN,82.47,clear sky,19.4167,80.0667,Hotel IK Residency
545,Laguna,US,87.8,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
547,Cascais,PT,60.01,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
548,North Bend,US,66.99,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
551,Quang Ngai,VN,82.08,broken clouds,15.1167,108.8,Central Hotel
552,Jizan,SA,84.2,few clouds,17.3333,42.6667,شهدان. ابوالحجر
553,Fare,PF,82.49,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
554,Carutapera,BR,76.6,overcast clouds,-1.195,-46.02,Lidera
555,Graham,US,80.01,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
557,Las Vegas,US,73.4,broken clouds,36.175,-115.1372,Plaza Hotel & Casino
558,Tezu,IN,75.43,scattered clouds,27.9167,96.1667,Circuit House
563,Madras,IN,80.6,mist,13.0878,80.2785,City home
564,Nova Olimpia,BR,73.87,scattered clouds,-14.7972,-57.2881,Motel glamour
565,Alterosa,BR,64.18,overcast clouds,-21.2492,-46.1431,Hotel Central Alterosa
567,Aswan,EG,75.79,clear sky,24.0934,32.907,Nuba Nile
568,Japeri,BR,78.8,clear sky,-22.6431,-43.6533,Sítio Pegasus
569,Ewa Beach,US,82.4,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
570,Portland,US,82.4,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
574,Graaff-Reinet,ZA,65.19,clear sky,-32.2522,24.5308,Rietjiesbos B&B
575,Pontianak,ID,75.2,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
576,Baghdad,IQ,68.0,clear sky,33.3406,44.4009,Baghdad Hotel
579,Pandharpur,IN,82.96,clear sky,17.6667,75.3333,Pandharinath Lodge and Restaurant
581,Tucupita,VE,74.61,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
584,Nhulunbuy,AU,89.6,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
587,Camargo,MX,81.68,few clouds,27.6667,-105.1667,Hotel Santa Fe
588,Nuevitas,CU,84.2,clear sky,21.5453,-77.2644,Hotel Caonaba
589,Concordia,AR,71.01,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
590,Kismayo,SO,82.24,scattered clouds,-0.3582,42.5454,Agan-Hotel
591,Kieta,PG,85.01,light rain,-6.2167,155.6333,Uruna Bay Retreat
592,Sanctorum,MX,77.0,scattered clouds,19.1,-98.25,Marriott Puebla Hotel Meson del Angel
593,Medicine Hat,CA,68.0,broken clouds,50.0501,-110.6683,Sun Dek Motel
597,Bocaiuva,BR,69.8,clear sky,-17.1078,-43.815,Hotel Maxim's
598,Pleasant Point,NZ,66.0,clear sky,-44.2667,171.1333,Pleasant Point Hotel
599,Kilindoni,TZ,79.45,moderate rain,-7.9139,39.6668,Bustani B&B
601,Khorramshahr,IR,69.8,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
603,Tacuarembo,UY,63.0,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
604,Diamantino,BR,72.57,few clouds,-14.4086,-56.4461,Hotel Delta
606,Vaitape,PF,82.04,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
608,Karratha,AU,86.05,clear sky,-20.7377,116.8463,ibis Styles Karratha
