City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Awbari,LY,2021-04-16 20:42:57,26.5921,12.7805,89.06,9,79,5.61
232,Sterling,US,2021-04-16 20:41:10,39.0062,-77.4286,57.99,44,75,17.27
233,Pacific Grove,US,2021-04-16 20:42:58,36.6177,-121.9166,61.0,63,1,12.66
234,Nueva Gerona,CU,2021-04-16 20:40:06,21.8833,-82.8,84.58,48,0,15.23
235,Lagoa,PT,2021-04-16 20:42:58,39.05,-27.9833,61.38,94,100,16.4
236,Tahta,EG,2021-04-16 20:42:58,26.7693,31.5021,84.2,10,0,10.36
237,Vanimo,PG,2021-04-16 20:42:59,-2.6741,141.3028,76.68,91,100,4.14
238,Muros,ES,2021-04-16 20:42:59,42.7762,-9.0603,55.99,57,51,4.0
239,Marsh Harbour,BS,2021-04-16 20:42:59,26.5412,-77.0636,77.56,66,2,9.86
240,San Andres,CO,2021-04-16 20:33:02,12.5847,-81.7006,86.0,74,75,13.8
241,Pokhara,NP,2021-04-16 20:39:02,28.2333,83.9833,70.48,23,62,7.29
242,Marzuq,YE,2021-04-16 20:43:00,14.4,46.4667,68.94,54,20,5.5
243,Vydrino,RU,2021-04-16 20:43:01,51.485,104.8461,31.73,79,14,4.16
244,Bahia Blanca,AR,2021-04-16 20:41:51,-38.7196,-62.2724,74.39,57,67,4.56
245,Aksarka,RU,2021-04-16 20:33:14,66.5606,67.7975,9.81,90,96,6.89
246,Vao,NC,2021-04-16 20:43:01,-22.6667,167.4833,73.99,81,25,16.67
247,Serenje,ZM,2021-04-16 20:43:02,-13.2325,30.2352,57.45,88,5,6.17
248,Banjar,ID,2021-04-16 20:43:02,-8.19,114.9675,77.0,94,40,1.14
249,Port Hardy,CA,2021-04-16 20:43:02,50.6996,-127.4199,57.2,58,1,4.61
250,Hit,IQ,2021-04-16 20:43:03,33.6416,42.8251,75.85,22,98,6.69
251,Shasta Lake,US,2021-04-16 20:43:03,40.6804,-122.3708,78.8,15,1,9.22
252,San-Pedro,CI,2021-04-16 20:43:03,4.7485,-6.6363,81.43,79,39,8.57
253,Tombouctou,ML,2021-04-16 20:43:04,20.0,-3.0,89.6,12,100,11.41
254,Malindi,KE,2021-04-16 20:43:05,-3.2175,40.1191,81.01,79,65,13.0
